"Attending Count","tick"
2133.0,1.0
2479.0,2.0
2205.0,3.0
2620.0,4.0
790.0,5.0
1470.0,6.0
1046.0,7.0
1586.0,8.0
2939.0,9.0
3397.0,10.0
332.0,11.0
3821.0,12.0
891.0,13.0
786.0,14.0
2894.0,15.0
5045.0,16.0
3039.0,17.0
2707.0,18.0
600.0,19.0
1531.0,20.0
2899.0,21.0
1015.0,22.0
1580.0,23.0
3300.0,24.0
1954.0,25.0
1080.0,26.0
870.0,27.0
1708.0,28.0
2198.0,29.0
747.0,30.0
2474.0,31.0
2150.0,32.0
539.0,33.0
796.0,34.0
1727.0,35.0
2692.0,36.0
1908.0,37.0
3029.0,38.0
281.0,39.0
791.0,40.0
3168.0,41.0
2688.0,42.0
1762.0,43.0
3906.0,44.0
293.0,45.0
1155.0,46.0
3060.0,47.0
4771.0,48.0
1989.0,49.0
4521.0,50.0
171.0,51.0
537.0,52.0
5671.0,53.0
5516.0,54.0
1516.0,55.0
5712.0,56.0
534.0,57.0
1605.0,58.0
4011.0,59.0
5610.0,60.0
2263.0,61.0
4683.0,62.0
305.0,63.0
860.0,64.0
5411.0,65.0
5335.0,66.0
1220.0,67.0
5984.0,68.0
642.0,69.0
1317.0,70.0
4082.0,71.0
5697.0,72.0
2976.0,73.0
4340.0,74.0
309.0,75.0
1184.0,76.0
4450.0,77.0
3818.0,78.0
1241.0,79.0
5733.0,80.0
800.0,81.0
1233.0,82.0
2870.0,83.0
4696.0,84.0
4242.0,85.0
3399.0,86.0
673.0,87.0
1298.0,88.0
1909.0,89.0
1416.0,90.0
2407.0,91.0
3547.0,92.0
1353.0,93.0
1352.0,94.0
1798.0,95.0
1550.0,96.0
2719.0,97.0
862.0,98.0
1201.0,99.0
723.0,100.0
1347.0,101.0
775.0,102.0
720.0,103.0
1330.0,104.0
1602.0,105.0
838.0,106.0
847.0,107.0
297.0,108.0
1381.0,109.0
1219.0,110.0
1218.0,111.0
1359.0,112.0
828.0,113.0
65.0,114.0
3530.0,115.0
3249.0,116.0
2041.0,117.0
2595.0,118.0
860.0,119.0
1433.0,120.0
1617.0,121.0
1910.0,122.0
798.0,123.0
2460.0,124.0
1216.0,125.0
599.0,126.0
1780.0,127.0
2119.0,128.0
1773.0,129.0
1350.0,130.0
607.0,131.0
504.0,132.0
1948.0,133.0
1005.0,134.0
2140.0,135.0
2825.0,136.0
604.0,137.0
484.0,138.0
3373.0,139.0
1317.0,140.0
4475.0,141.0
3328.0,142.0
1119.0,143.0
317.0,144.0
5542.0,145.0
1103.0,146.0
5619.0,147.0
5423.0,148.0
671.0,149.0
491.0,150.0
5338.0,151.0
2598.0,152.0
5559.0,153.0
4189.0,154.0
1189.0,155.0
477.0,156.0
5092.0,157.0
1429.0,158.0
5670.0,159.0
5593.0,160.0
868.0,161.0
457.0,162.0
5320.0,163.0
1677.0,164.0
6020.0,165.0
5005.0,166.0
1672.0,167.0
363.0,168.0
5486.0,169.0
1406.0,170.0
5874.0,171.0
5513.0,172.0
1105.0,173.0
446.0,174.0
5356.0,175.0
1519.0,176.0
6069.0,177.0
5236.0,178.0
1458.0,179.0
403.0,180.0
5500.0,181.0
1376.0,182.0
6069.0,183.0
5489.0,184.0
1211.0,185.0
446.0,186.0
5466.0,187.0
1480.0,188.0
6126.0,189.0
5312.0,190.0
1374.0,191.0
424.0,192.0
5522.0,193.0
1418.0,194.0
6120.0,195.0
5431.0,196.0
1229.0,197.0
455.0,198.0
5507.0,199.0
1476.0,200.0
6140.0,201.0
5344.0,202.0
1295.0,203.0
443.0,204.0
5533.0,205.0
1462.0,206.0
6145.0,207.0
5377.0,208.0
1222.0,209.0
450.0,210.0
5534.0,211.0
1480.0,212.0
6153.0,213.0
5365.0,214.0
1254.0,215.0
452.0,216.0
5536.0,217.0
1493.0,218.0
6134.0,219.0
5346.0,220.0
1232.0,221.0
447.0,222.0
5538.0,223.0
1488.0,224.0
6143.0,225.0
5367.0,226.0
1230.0,227.0
450.0,228.0
5538.0,229.0
1497.0,230.0
6142.0,231.0
5352.0,232.0
1243.0,233.0
447.0,234.0
5539.0,235.0
1493.0,236.0
6136.0,237.0
5362.0,238.0
1225.0,239.0
449.0,240.0
5535.0,241.0
1496.0,242.0
6137.0,243.0
5353.0,244.0
1243.0,245.0
447.0,246.0
5540.0,247.0
1498.0,248.0
6138.0,249.0
5355.0,250.0
1223.0,251.0
446.0,252.0
5541.0,253.0
1489.0,254.0
6147.0,255.0
5367.0,256.0
1237.0,257.0
448.0,258.0
5542.0,259.0
1501.0,260.0
6137.0,261.0
5349.0,262.0
1237.0,263.0
445.0,264.0
5536.0,265.0
1495.0,266.0
6142.0,267.0
5366.0,268.0
1226.0,269.0
448.0,270.0
5539.0,271.0
1489.0,272.0
6147.0,273.0
5367.0,274.0
1244.0,275.0
450.0,276.0
5538.0,277.0
1496.0,278.0
6136.0,279.0
5348.0,280.0
1237.0,281.0
446.0,282.0
5537.0,283.0
1493.0,284.0
6139.0,285.0
5364.0,286.0
1228.0,287.0
448.0,288.0
5536.0,289.0
1493.0,290.0
6144.0,291.0
5360.0,292.0
1242.0,293.0
447.0,294.0
5543.0,295.0
1493.0,296.0
6139.0,297.0
5359.0,298.0
1233.0,299.0
446.0,300.0
