"Attending Count","tick"
281.0,1.0
117.0,2.0
420.0,3.0
214.0,4.0
365.0,5.0
405.0,6.0
195.0,7.0
133.0,8.0
315.0,9.0
120.0,10.0
388.0,11.0
429.0,12.0
224.0,13.0
43.0,14.0
443.0,15.0
69.0,16.0
523.0,17.0
634.0,18.0
263.0,19.0
31.0,20.0
528.0,21.0
91.0,22.0
649.0,23.0
618.0,24.0
322.0,25.0
37.0,26.0
552.0,27.0
83.0,28.0
599.0,29.0
640.0,30.0
273.0,31.0
57.0,32.0
513.0,33.0
95.0,34.0
620.0,35.0
605.0,36.0
287.0,37.0
42.0,38.0
539.0,39.0
79.0,40.0
621.0,41.0
647.0,42.0
252.0,43.0
47.0,44.0
536.0,45.0
94.0,46.0
635.0,47.0
625.0,48.0
274.0,49.0
41.0,50.0
539.0,51.0
91.0,52.0
625.0,53.0
634.0,54.0
249.0,55.0
45.0,56.0
548.0,57.0
95.0,58.0
631.0,59.0
630.0,60.0
255.0,61.0
42.0,62.0
539.0,63.0
105.0,64.0
630.0,65.0
626.0,66.0
236.0,67.0
42.0,68.0
558.0,69.0
94.0,70.0
643.0,71.0
640.0,72.0
244.0,73.0
42.0,74.0
544.0,75.0
111.0,76.0
641.0,77.0
626.0,78.0
233.0,79.0
41.0,80.0
558.0,81.0
99.0,82.0
641.0,83.0
638.0,84.0
237.0,85.0
40.0,86.0
551.0,87.0
110.0,88.0
643.0,89.0
628.0,90.0
233.0,91.0
43.0,92.0
560.0,93.0
106.0,94.0
637.0,95.0
627.0,96.0
232.0,97.0
46.0,98.0
548.0,99.0
116.0,100.0
631.0,101.0
617.0,102.0
227.0,103.0
42.0,104.0
558.0,105.0
107.0,106.0
633.0,107.0
626.0,108.0
224.0,109.0
42.0,110.0
555.0,111.0
115.0,112.0
638.0,113.0
622.0,114.0
228.0,115.0
42.0,116.0
559.0,117.0
117.0,118.0
628.0,119.0
619.0,120.0
228.0,121.0
42.0,122.0
555.0,123.0
117.0,124.0
628.0,125.0
617.0,126.0
225.0,127.0
41.0,128.0
555.0,129.0
116.0,130.0
630.0,131.0
620.0,132.0
221.0,133.0
40.0,134.0
554.0,135.0
113.0,136.0
642.0,137.0
625.0,138.0
221.0,139.0
40.0,140.0
558.0,141.0
110.0,142.0
648.0,143.0
624.0,144.0
222.0,145.0
40.0,146.0
560.0,147.0
115.0,148.0
643.0,149.0
629.0,150.0
211.0,151.0
42.0,152.0
558.0,153.0
116.0,154.0
658.0,155.0
627.0,156.0
213.0,157.0
40.0,158.0
566.0,159.0
109.0,160.0
658.0,161.0
635.0,162.0
210.0,163.0
41.0,164.0
562.0,165.0
113.0,166.0
658.0,167.0
630.0,168.0
214.0,169.0
43.0,170.0
563.0,171.0
109.0,172.0
653.0,173.0
634.0,174.0
212.0,175.0
43.0,176.0
559.0,177.0
115.0,178.0
658.0,179.0
626.0,180.0
214.0,181.0
44.0,182.0
560.0,183.0
108.0,184.0
650.0,185.0
630.0,186.0
213.0,187.0
43.0,188.0
557.0,189.0
114.0,190.0
660.0,191.0
625.0,192.0
211.0,193.0
44.0,194.0
566.0,195.0
108.0,196.0
653.0,197.0
631.0,198.0
209.0,199.0
44.0,200.0
558.0,201.0
116.0,202.0
657.0,203.0
627.0,204.0
207.0,205.0
44.0,206.0
564.0,207.0
109.0,208.0
658.0,209.0
630.0,210.0
211.0,211.0
