"Attending Count","tick"
67.0,1.0
40.0,2.0
72.0,3.0
56.0,4.0
70.0,5.0
70.0,6.0
63.0,7.0
33.0,8.0
77.0,9.0
63.0,10.0
61.0,11.0
63.0,12.0
62.0,13.0
0.0,14.0
97.0,15.0
63.0,16.0
64.0,17.0
65.0,18.0
59.0,19.0
6.0,20.0
96.0,21.0
62.0,22.0
64.0,23.0
61.0,24.0
57.0,25.0
7.0,26.0
97.0,27.0
63.0,28.0
61.0,29.0
59.0,30.0
59.0,31.0
5.0,32.0
96.0,33.0
59.0,34.0
69.0,35.0
72.0,36.0
57.0,37.0
10.0,38.0
79.0,39.0
69.0,40.0
71.0,41.0
75.0,42.0
75.0,43.0
0.0,44.0
75.0,45.0
84.0,46.0
73.0,47.0
74.0,48.0
76.0,49.0
0.0,50.0
64.0,51.0
85.0,52.0
63.0,53.0
64.0,54.0
75.0,55.0
0.0,56.0
80.0,57.0
74.0,58.0
73.0,59.0
79.0,60.0
79.0,61.0
0.0,62.0
78.0,63.0
70.0,64.0
78.0,65.0
79.0,66.0
77.0,67.0
0.0,68.0
81.0,69.0
79.0,70.0
73.0,71.0
78.0,72.0
67.0,73.0
0.0,74.0
76.0,75.0
70.0,76.0
76.0,77.0
79.0,78.0
74.0,79.0
0.0,80.0
74.0,81.0
81.0,82.0
77.0,83.0
67.0,84.0
78.0,85.0
0.0,86.0
72.0,87.0
78.0,88.0
73.0,89.0
79.0,90.0
81.0,91.0
0.0,92.0
73.0,93.0
81.0,94.0
69.0,95.0
81.0,96.0
72.0,97.0
0.0,98.0
71.0,99.0
77.0,100.0
72.0,101.0
81.0,102.0
67.0,103.0
0.0,104.0
72.0,105.0
73.0,106.0
74.0,107.0
84.0,108.0
65.0,109.0
0.0,110.0
78.0,111.0
71.0,112.0
71.0,113.0
74.0,114.0
75.0,115.0
0.0,116.0
85.0,117.0
68.0,118.0
64.0,119.0
75.0,120.0
75.0,121.0
0.0,122.0
85.0,123.0
73.0,124.0
77.0,125.0
70.0,126.0
72.0,127.0
0.0,128.0
73.0,129.0
83.0,130.0
83.0,131.0
71.0,132.0
75.0,133.0
0.0,134.0
76.0,135.0
74.0,136.0
81.0,137.0
75.0,138.0
76.0,139.0
0.0,140.0
69.0,141.0
75.0,142.0
75.0,143.0
81.0,144.0
77.0,145.0
0.0,146.0
75.0,147.0
75.0,148.0
76.0,149.0
82.0,150.0
74.0,151.0
0.0,152.0
72.0,153.0
64.0,154.0
71.0,155.0
77.0,156.0
77.0,157.0
0.0,158.0
79.0,159.0
76.0,160.0
81.0,161.0
81.0,162.0
79.0,163.0
0.0,164.0
76.0,165.0
77.0,166.0
78.0,167.0
82.0,168.0
69.0,169.0
0.0,170.0
73.0,171.0
80.0,172.0
66.0,173.0
78.0,174.0
76.0,175.0
0.0,176.0
72.0,177.0
74.0,178.0
78.0,179.0
77.0,180.0
78.0,181.0
0.0,182.0
75.0,183.0
75.0,184.0
88.0,185.0
69.0,186.0
65.0,187.0
0.0,188.0
68.0,189.0
68.0,190.0
86.0,191.0
72.0,192.0
73.0,193.0
0.0,194.0
77.0,195.0
75.0,196.0
82.0,197.0
72.0,198.0
84.0,199.0
0.0,200.0
70.0,201.0
73.0,202.0
79.0,203.0
69.0,204.0
71.0,205.0
0.0,206.0
74.0,207.0
80.0,208.0
73.0,209.0
70.0,210.0
80.0,211.0
0.0,212.0
75.0,213.0
74.0,214.0
79.0,215.0
77.0,216.0
79.0,217.0
0.0,218.0
83.0,219.0
76.0,220.0
76.0,221.0
75.0,222.0
73.0,223.0
0.0,224.0
77.0,225.0
82.0,226.0
80.0,227.0
78.0,228.0
76.0,229.0
0.0,230.0
79.0,231.0
77.0,232.0
86.0,233.0
73.0,234.0
82.0,235.0
0.0,236.0
68.0,237.0
70.0,238.0
77.0,239.0
75.0,240.0
77.0,241.0
0.0,242.0
79.0,243.0
74.0,244.0
78.0,245.0
75.0,246.0
83.0,247.0
0.0,248.0
68.0,249.0
61.0,250.0
75.0,251.0
73.0,252.0
81.0,253.0
0.0,254.0
87.0,255.0
69.0,256.0
64.0,257.0
69.0,258.0
71.0,259.0
0.0,260.0
93.0,261.0
69.0,262.0
67.0,263.0
66.0,264.0
60.0,265.0
4.0,266.0
92.0,267.0
52.0,268.0
67.0,269.0
64.0,270.0
61.0,271.0
27.0,272.0
80.0,273.0
63.0,274.0
57.0,275.0
71.0,276.0
68.0,277.0
21.0,278.0
80.0,279.0
66.0,280.0
68.0,281.0
67.0,282.0
70.0,283.0
0.0,284.0
89.0,285.0
74.0,286.0
65.0,287.0
68.0,288.0
64.0,289.0
0.0,290.0
85.0,291.0
70.0,292.0
72.0,293.0
66.0,294.0
72.0,295.0
0.0,296.0
81.0,297.0
78.0,298.0
75.0,299.0
67.0,300.0
