"Attending Count","tick"
92.0,1.0
82.0,2.0
80.0,3.0
47.0,4.0
80.0,5.0
66.0,6.0
86.0,7.0
89.0,8.0
75.0,9.0
65.0,10.0
83.0,11.0
63.0,12.0
82.0,13.0
83.0,14.0
86.0,15.0
66.0,16.0
82.0,17.0
60.0,18.0
81.0,19.0
85.0,20.0
83.0,21.0
74.0,22.0
79.0,23.0
66.0,24.0
78.0,25.0
81.0,26.0
86.0,27.0
75.0,28.0
83.0,29.0
67.0,30.0
74.0,31.0
77.0,32.0
89.0,33.0
76.0,34.0
83.0,35.0
70.0,36.0
72.0,37.0
78.0,38.0
88.0,39.0
79.0,40.0
83.0,41.0
71.0,42.0
76.0,43.0
74.0,44.0
86.0,45.0
80.0,46.0
85.0,47.0
72.0,48.0
76.0,49.0
71.0,50.0
87.0,51.0
77.0,52.0
87.0,53.0
74.0,54.0
74.0,55.0
71.0,56.0
84.0,57.0
79.0,58.0
89.0,59.0
72.0,60.0
77.0,61.0
67.0,62.0
83.0,63.0
80.0,64.0
88.0,65.0
70.0,66.0
79.0,67.0
67.0,68.0
79.0,69.0
81.0,70.0
88.0,71.0
71.0,72.0
81.0,73.0
62.0,74.0
80.0,75.0
78.0,76.0
89.0,77.0
76.0,78.0
77.0,79.0
69.0,80.0
80.0,81.0
78.0,82.0
87.0,83.0
78.0,84.0
79.0,85.0
71.0,86.0
80.0,87.0
76.0,88.0
86.0,89.0
77.0,90.0
82.0,91.0
72.0,92.0
80.0,93.0
71.0,94.0
87.0,95.0
76.0,96.0
81.0,97.0
74.0,98.0
78.0,99.0
75.0,100.0
85.0,101.0
79.0,102.0
84.0,103.0
73.0,104.0
78.0,105.0
70.0,106.0
87.0,107.0
76.0,108.0
84.0,109.0
76.0,110.0
73.0,111.0
71.0,112.0
88.0,113.0
77.0,114.0
84.0,115.0
72.0,116.0
76.0,117.0
71.0,118.0
88.0,119.0
77.0,120.0
83.0,121.0
74.0,122.0
75.0,123.0
71.0,124.0
89.0,125.0
76.0,126.0
83.0,127.0
72.0,128.0
75.0,129.0
71.0,130.0
90.0,131.0
77.0,132.0
83.0,133.0
71.0,134.0
73.0,135.0
71.0,136.0
88.0,137.0
79.0,138.0
84.0,139.0
71.0,140.0
76.0,141.0
70.0,142.0
87.0,143.0
78.0,144.0
84.0,145.0
75.0,146.0
74.0,147.0
70.0,148.0
87.0,149.0
76.0,150.0
88.0,151.0
73.0,152.0
74.0,153.0
68.0,154.0
85.0,155.0
77.0,156.0
88.0,157.0
74.0,158.0
76.0,159.0
70.0,160.0
84.0,161.0
77.0,162.0
86.0,163.0
77.0,164.0
73.0,165.0
72.0,166.0
86.0,167.0
76.0,168.0
87.0,169.0
74.0,170.0
75.0,171.0
70.0,172.0
86.0,173.0
78.0,174.0
86.0,175.0
74.0,176.0
76.0,177.0
69.0,178.0
85.0,179.0
78.0,180.0
86.0,181.0
74.0,182.0
76.0,183.0
69.0,184.0
85.0,185.0
78.0,186.0
86.0,187.0
75.0,188.0
76.0,189.0
69.0,190.0
84.0,191.0
79.0,192.0
86.0,193.0
75.0,194.0
77.0,195.0
69.0,196.0
83.0,197.0
80.0,198.0
85.0,199.0
76.0,200.0
80.0,201.0
68.0,202.0
83.0,203.0
74.0,204.0
83.0,205.0
81.0,206.0
76.0,207.0
76.0,208.0
82.0,209.0
79.0,210.0
82.0,211.0
79.0,212.0
78.0,213.0
77.0,214.0
82.0,215.0
80.0,216.0
82.0,217.0
76.0,218.0
81.0,219.0
74.0,220.0
81.0,221.0
78.0,222.0
83.0,223.0
79.0,224.0
81.0,225.0
72.0,226.0
82.0,227.0
77.0,228.0
81.0,229.0
77.0,230.0
83.0,231.0
74.0,232.0
83.0,233.0
74.0,234.0
80.0,235.0
75.0,236.0
84.0,237.0
76.0,238.0
82.0,239.0
74.0,240.0
81.0,241.0
74.0,242.0
83.0,243.0
74.0,244.0
83.0,245.0
75.0,246.0
81.0,247.0
75.0,248.0
82.0,249.0
74.0,250.0
83.0,251.0
74.0,252.0
82.0,253.0
74.0,254.0
81.0,255.0
75.0,256.0
84.0,257.0
74.0,258.0
82.0,259.0
74.0,260.0
81.0,261.0
75.0,262.0
84.0,263.0
75.0,264.0
82.0,265.0
72.0,266.0
82.0,267.0
74.0,268.0
82.0,269.0
77.0,270.0
83.0,271.0
74.0,272.0
82.0,273.0
72.0,274.0
82.0,275.0
75.0,276.0
83.0,277.0
76.0,278.0
80.0,279.0
76.0,280.0
81.0,281.0
79.0,282.0
83.0,283.0
77.0,284.0
81.0,285.0
72.0,286.0
83.0,287.0
73.0,288.0
83.0,289.0
78.0,290.0
84.0,291.0
74.0,292.0
82.0,293.0
69.0,294.0
84.0,295.0
76.0,296.0
81.0,297.0
79.0,298.0
80.0,299.0
74.0,300.0
