"Attending Count","tick"
101.0,1.0
86.0,2.0
83.0,3.0
86.0,4.0
78.0,5.0
53.0,6.0
101.0,7.0
79.0,8.0
73.0,9.0
68.0,10.0
75.0,11.0
67.0,12.0
101.0,13.0
76.0,14.0
67.0,15.0
69.0,16.0
73.0,17.0
66.0,18.0
101.0,19.0
74.0,20.0
63.0,21.0
75.0,22.0
78.0,23.0
65.0,24.0
101.0,25.0
71.0,26.0
68.0,27.0
72.0,28.0
71.0,29.0
66.0,30.0
101.0,31.0
69.0,32.0
68.0,33.0
70.0,34.0
76.0,35.0
66.0,36.0
101.0,37.0
75.0,38.0
66.0,39.0
75.0,40.0
69.0,41.0
67.0,42.0
101.0,43.0
68.0,44.0
73.0,45.0
72.0,46.0
61.0,47.0
73.0,48.0
101.0,49.0
73.0,50.0
75.0,51.0
83.0,52.0
63.0,53.0
68.0,54.0
101.0,55.0
71.0,56.0
78.0,57.0
68.0,58.0
66.0,59.0
67.0,60.0
101.0,61.0
64.0,62.0
69.0,63.0
68.0,64.0
74.0,65.0
68.0,66.0
101.0,67.0
64.0,68.0
68.0,69.0
74.0,70.0
60.0,71.0
74.0,72.0
101.0,73.0
69.0,74.0
78.0,75.0
74.0,76.0
62.0,77.0
72.0,78.0
101.0,79.0
67.0,80.0
75.0,81.0
67.0,82.0
61.0,83.0
71.0,84.0
101.0,85.0
76.0,86.0
75.0,87.0
76.0,88.0
62.0,89.0
73.0,90.0
101.0,91.0
73.0,92.0
74.0,93.0
72.0,94.0
61.0,95.0
72.0,96.0
101.0,97.0
85.0,98.0
76.0,99.0
68.0,100.0
63.0,101.0
73.0,102.0
101.0,103.0
72.0,104.0
78.0,105.0
76.0,106.0
71.0,107.0
66.0,108.0
101.0,109.0
72.0,110.0
74.0,111.0
72.0,112.0
71.0,113.0
67.0,114.0
101.0,115.0
76.0,116.0
71.0,117.0
62.0,118.0
77.0,119.0
74.0,120.0
101.0,121.0
78.0,122.0
77.0,123.0
49.0,124.0
82.0,125.0
80.0,126.0
101.0,127.0
84.0,128.0
82.0,129.0
60.0,130.0
74.0,131.0
75.0,132.0
101.0,133.0
72.0,134.0
69.0,135.0
68.0,136.0
70.0,137.0
63.0,138.0
101.0,139.0
66.0,140.0
73.0,141.0
75.0,142.0
70.0,143.0
73.0,144.0
101.0,145.0
66.0,146.0
64.0,147.0
71.0,148.0
78.0,149.0
67.0,150.0
101.0,151.0
74.0,152.0
79.0,153.0
68.0,154.0
78.0,155.0
69.0,156.0
101.0,157.0
69.0,158.0
67.0,159.0
72.0,160.0
62.0,161.0
68.0,162.0
101.0,163.0
72.0,164.0
69.0,165.0
67.0,166.0
64.0,167.0
82.0,168.0
101.0,169.0
73.0,170.0
72.0,171.0
67.0,172.0
74.0,173.0
66.0,174.0
101.0,175.0
71.0,176.0
74.0,177.0
73.0,178.0
68.0,179.0
68.0,180.0
101.0,181.0
66.0,182.0
70.0,183.0
67.0,184.0
65.0,185.0
74.0,186.0
101.0,187.0
73.0,188.0
71.0,189.0
63.0,190.0
65.0,191.0
77.0,192.0
101.0,193.0
70.0,194.0
73.0,195.0
65.0,196.0
78.0,197.0
78.0,198.0
101.0,199.0
66.0,200.0
72.0,201.0
60.0,202.0
67.0,203.0
72.0,204.0
101.0,205.0
71.0,206.0
67.0,207.0
73.0,208.0
69.0,209.0
67.0,210.0
101.0,211.0
64.0,212.0
72.0,213.0
71.0,214.0
76.0,215.0
70.0,216.0
101.0,217.0
72.0,218.0
65.0,219.0
78.0,220.0
71.0,221.0
72.0,222.0
101.0,223.0
76.0,224.0
64.0,225.0
68.0,226.0
78.0,227.0
73.0,228.0
101.0,229.0
68.0,230.0
73.0,231.0
70.0,232.0
75.0,233.0
73.0,234.0
101.0,235.0
73.0,236.0
69.0,237.0
69.0,238.0
67.0,239.0
70.0,240.0
101.0,241.0
68.0,242.0
70.0,243.0
68.0,244.0
76.0,245.0
70.0,246.0
101.0,247.0
78.0,248.0
77.0,249.0
64.0,250.0
71.0,251.0
70.0,252.0
101.0,253.0
67.0,254.0
74.0,255.0
70.0,256.0
64.0,257.0
81.0,258.0
101.0,259.0
73.0,260.0
75.0,261.0
76.0,262.0
70.0,263.0
71.0,264.0
101.0,265.0
67.0,266.0
62.0,267.0
80.0,268.0
66.0,269.0
68.0,270.0
101.0,271.0
71.0,272.0
66.0,273.0
69.0,274.0
67.0,275.0
69.0,276.0
101.0,277.0
65.0,278.0
71.0,279.0
72.0,280.0
72.0,281.0
73.0,282.0
101.0,283.0
68.0,284.0
73.0,285.0
79.0,286.0
71.0,287.0
80.0,288.0
101.0,289.0
68.0,290.0
76.0,291.0
70.0,292.0
68.0,293.0
71.0,294.0
101.0,295.0
66.0,296.0
72.0,297.0
72.0,298.0
78.0,299.0
72.0,300.0
