"Attending Count","tick"
58.0,1.0
46.0,2.0
63.0,3.0
89.0,4.0
85.0,5.0
72.0,6.0
75.0,7.0
57.0,8.0
67.0,9.0
85.0,10.0
82.0,11.0
77.0,12.0
83.0,13.0
64.0,14.0
66.0,15.0
82.0,16.0
82.0,17.0
78.0,18.0
84.0,19.0
67.0,20.0
70.0,21.0
77.0,22.0
83.0,23.0
79.0,24.0
83.0,25.0
71.0,26.0
77.0,27.0
77.0,28.0
79.0,29.0
80.0,30.0
84.0,31.0
73.0,32.0
78.0,33.0
81.0,34.0
78.0,35.0
79.0,36.0
83.0,37.0
78.0,38.0
77.0,39.0
79.0,40.0
80.0,41.0
80.0,42.0
82.0,43.0
78.0,44.0
80.0,45.0
80.0,46.0
78.0,47.0
80.0,48.0
82.0,49.0
80.0,50.0
77.0,51.0
78.0,52.0
80.0,53.0
80.0,54.0
83.0,55.0
76.0,56.0
79.0,57.0
81.0,58.0
78.0,59.0
78.0,60.0
84.0,61.0
79.0,62.0
78.0,63.0
77.0,64.0
81.0,65.0
78.0,66.0
83.0,67.0
79.0,68.0
77.0,69.0
78.0,70.0
81.0,71.0
78.0,72.0
84.0,73.0
77.0,74.0
78.0,75.0
79.0,76.0
80.0,77.0
80.0,78.0
84.0,79.0
76.0,80.0
78.0,81.0
81.0,82.0
78.0,83.0
79.0,84.0
83.0,85.0
79.0,86.0
76.0,87.0
79.0,88.0
81.0,89.0
79.0,90.0
83.0,91.0
76.0,92.0
80.0,93.0
80.0,94.0
79.0,95.0
80.0,96.0
81.0,97.0
79.0,98.0
79.0,99.0
79.0,100.0
79.0,101.0
81.0,102.0
80.0,103.0
79.0,104.0
79.0,105.0
80.0,106.0
79.0,107.0
80.0,108.0
81.0,109.0
78.0,110.0
80.0,111.0
80.0,112.0
78.0,113.0
80.0,114.0
81.0,115.0
79.0,116.0
79.0,117.0
79.0,118.0
79.0,119.0
81.0,120.0
80.0,121.0
79.0,122.0
79.0,123.0
80.0,124.0
79.0,125.0
80.0,126.0
81.0,127.0
78.0,128.0
80.0,129.0
80.0,130.0
78.0,131.0
80.0,132.0
81.0,133.0
79.0,134.0
79.0,135.0
79.0,136.0
79.0,137.0
81.0,138.0
80.0,139.0
79.0,140.0
79.0,141.0
80.0,142.0
79.0,143.0
80.0,144.0
81.0,145.0
78.0,146.0
80.0,147.0
80.0,148.0
78.0,149.0
80.0,150.0
81.0,151.0
79.0,152.0
79.0,153.0
79.0,154.0
79.0,155.0
81.0,156.0
80.0,157.0
79.0,158.0
79.0,159.0
80.0,160.0
79.0,161.0
80.0,162.0
81.0,163.0
78.0,164.0
80.0,165.0
80.0,166.0
78.0,167.0
80.0,168.0
81.0,169.0
79.0,170.0
79.0,171.0
79.0,172.0
79.0,173.0
81.0,174.0
80.0,175.0
79.0,176.0
79.0,177.0
80.0,178.0
79.0,179.0
80.0,180.0
81.0,181.0
78.0,182.0
80.0,183.0
80.0,184.0
78.0,185.0
80.0,186.0
81.0,187.0
79.0,188.0
79.0,189.0
79.0,190.0
79.0,191.0
81.0,192.0
80.0,193.0
79.0,194.0
79.0,195.0
80.0,196.0
79.0,197.0
80.0,198.0
81.0,199.0
78.0,200.0
80.0,201.0
80.0,202.0
78.0,203.0
80.0,204.0
81.0,205.0
79.0,206.0
79.0,207.0
79.0,208.0
79.0,209.0
81.0,210.0
80.0,211.0
79.0,212.0
79.0,213.0
80.0,214.0
79.0,215.0
80.0,216.0
81.0,217.0
78.0,218.0
80.0,219.0
80.0,220.0
78.0,221.0
80.0,222.0
81.0,223.0
79.0,224.0
79.0,225.0
79.0,226.0
79.0,227.0
81.0,228.0
80.0,229.0
79.0,230.0
79.0,231.0
80.0,232.0
79.0,233.0
80.0,234.0
81.0,235.0
78.0,236.0
80.0,237.0
80.0,238.0
78.0,239.0
80.0,240.0
81.0,241.0
79.0,242.0
79.0,243.0
79.0,244.0
79.0,245.0
81.0,246.0
80.0,247.0
79.0,248.0
79.0,249.0
80.0,250.0
79.0,251.0
80.0,252.0
81.0,253.0
78.0,254.0
80.0,255.0
80.0,256.0
78.0,257.0
80.0,258.0
81.0,259.0
79.0,260.0
79.0,261.0
79.0,262.0
79.0,263.0
81.0,264.0
80.0,265.0
79.0,266.0
79.0,267.0
80.0,268.0
79.0,269.0
80.0,270.0
81.0,271.0
78.0,272.0
80.0,273.0
80.0,274.0
78.0,275.0
80.0,276.0
81.0,277.0
79.0,278.0
79.0,279.0
79.0,280.0
79.0,281.0
81.0,282.0
80.0,283.0
79.0,284.0
79.0,285.0
80.0,286.0
79.0,287.0
80.0,288.0
81.0,289.0
78.0,290.0
80.0,291.0
80.0,292.0
78.0,293.0
80.0,294.0
81.0,295.0
79.0,296.0
79.0,297.0
79.0,298.0
79.0,299.0
81.0,300.0
